Uf,Tipo_crime,Ocorrencias,Data
Alagoas,Tentativa de homicídio,45,2022-04-01
Alagoas,Estupro,17,2022-05-01
Alagoas,Furto de veículo,142,2022-05-01
Alagoas,Homicídio doloso,77,2022-05-01
Alagoas,Lesão corporal seguida de morte,1,2022-05-01
Alagoas,Roubo de veículo,143,2022-05-01
Alagoas,Roubo seguido de morte (latrocínio),2,2022-05-01
Alagoas,Tentativa de homicídio,45,2022-05-01
Alagoas,Estupro,54,2022-06-01
Alagoas,Furto de veículo,183,2022-06-01
Alagoas,Homicídio doloso,86,2022-06-01
Alagoas,Roubo de carga,2,2022-06-01
Alagoas,Roubo de veículo,136,2022-06-01
Alagoas,Roubo seguido de morte (latrocínio),1,2022-06-01
Alagoas,Tentativa de homicídio,41,2022-06-01
Alagoas,Estupro,74,2022-07-01
Alagoas,Furto de veículo,184,2022-07-01
Alagoas,Homicídio doloso,92,2022-07-01
Alagoas,Lesão corporal seguida de morte,0,2022-07-01
Alagoas,Roubo a instituição financeira,0,2022-07-01
Alagoas,Roubo de carga,5,2022-07-01
Alagoas,Roubo de veículo,150,2022-07-01
Alagoas,Roubo seguido de morte (latrocínio),3,2022-07-01
Alagoas,Tentativa de homicídio,67,2022-07-01
Alagoas,Estupro,73,2022-08-01
Alagoas,Furto de veículo,158,2022-08-01
Alagoas,Homicídio doloso,63,2022-08-01
Alagoas,Lesão corporal seguida de morte,2,2022-08-01
Alagoas,Roubo a instituição financeira,0,2022-08-01
Alagoas,Roubo de carga,0,2022-08-01
Alagoas,Roubo de veículo,133,2022-08-01
Alagoas,Roubo seguido de morte (latrocínio),2,2022-08-01
Alagoas,Tentativa de homicídio,68,2022-08-01
Alagoas,Estupro,79,2022-09-01
Alagoas,Furto de veículo,176,2022-09-01
Alagoas,Homicídio doloso,90,2022-09-01
Alagoas,Roubo de carga,3,2022-09-01
Alagoas,Roubo de veículo,134,2022-09-01
Alagoas,Roubo seguido de morte (latrocínio),1,2022-09-01
Alagoas,Tentativa de homicídio,49,2022-09-01
Amapá,Estupro,7,2022-01-01
Amapá,Furto de veículo,30,2022-01-01
Amapá,Homicídio doloso,16,2022-01-01
Amapá,Lesão corporal seguida de morte,0,2022-01-01
Amapá,Roubo a instituição financeira,0,2022-01-01
Amapá,Roubo de carga,0,2022-01-01
Amapá,Roubo de veículo,39,2022-01-01
Amapá,Roubo seguido de morte (latrocínio),5,2022-01-01
Amapá,Tentativa de homicídio,18,2022-01-01
Amapá,Estupro,13,2022-02-01
Amapá,Furto de veículo,120,2022-02-01
Amapá,Homicídio doloso,20,2022-02-01
Amapá,Lesão corporal seguida de morte,0,2022-02-01
Amapá,Roubo a instituição financeira,0,2022-02-01
Amapá,Roubo de carga,0,2022-02-01
Amapá,Roubo de veículo,25,2022-02-01
Amapá,Roubo seguido de morte (latrocínio),2,2022-02-01
Amapá,Tentativa de homicídio,12,2022-02-01
Amapá,Estupro,5,2022-03-01
Amapá,Furto de veículo,28,2022-03-01
Amapá,Homicídio doloso,12,2022-03-01
Amapá,Lesão corporal seguida de morte,1,2022-03-01
Amapá,Roubo a instituição financeira,0,2022-03-01
Amapá,Roubo de carga,1,2022-03-01
Amapá,Roubo de veículo,37,2022-03-01
Amapá,Roubo seguido de morte (latrocínio),1,2022-03-01
Amapá,Tentativa de homicídio,10,2022-03-01
Amapá,Estupro,10,2022-04-01
Amapá,Furto de veículo,35,2022-04-01
Amapá,Homicídio doloso,15,2022-04-01
Amapá,Lesão corporal seguida de morte,0,2022-04-01
Amapá,Roubo a instituição financeira,1,2022-04-01
Amapá,Roubo de carga,5,2022-04-01
Amapá,Roubo de veículo,42,2022-04-01
Amapá,Roubo seguido de morte (latrocínio),2,2022-04-01
Amapá,Tentativa de homicídio,15,2022-04-01
Amapá,Estupro,12,2022-05-01
Amapá,Furto de veículo,26,2022-05-01
Amapá,Homicídio doloso,13,2022-05-01
Amapá,Lesão corporal seguida de morte,2,2022-05-01
Amapá,Roubo de veículo,29,2022-05-01
Amapá,Roubo seguido de morte (latrocínio),2,2022-05-01
Amapá,Tentativa de homicídio,19,2022-05-01
Amapá,Estupro,12,2022-06-01
Amapá,Furto de veículo,21,2022-06-01
Amapá,Homicídio doloso,13,2022-06-01
Amapá,Lesão corporal seguida de morte,3,2022-06-01
Amapá,Roubo a instituição financeira,1,2022-06-01
Amapá,Roubo de veículo,20,2022-06-01
Amapá,Roubo seguido de morte (latrocínio),2,2022-06-01
Amapá,Tentativa de homicídio,16,2022-06-01
Amapá,Estupro,9,2022-07-01
Amapá,Furto de veículo,18,2022-07-01
Amapá,Homicídio doloso,13,2022-07-01
Amapá,Lesão corporal seguida de morte,2,2022-07-01
Amapá,Roubo de veículo,25,2022-07-01
Amapá,Roubo seguido de morte (latrocínio),1,2022-07-01
Amapá,Tentativa de homicídio,27,2022-07-01
Amapá,Estupro,8,2022-08-01
Amapá,Furto de veículo,26,2022-08-01
Amapá,Homicídio doloso,22,2022-08-01
Amapá,Lesão corporal seguida de morte,1,2022-08-01
Amapá,Roubo a instituição financeira,1,2022-08-01
Amapá,Roubo de carga,6,2022-08-01
Amapá,Roubo de veículo,34,2022-08-01
Amapá,Roubo seguido de morte (latrocínio),1,2022-08-01
Amapá,Tentativa de homicídio,12,2022-08-01
Amapá,Estupro,14,2022-09-01
Amapá,Furto de veículo,26,2022-09-01
Amapá,Homicídio doloso,11,2022-09-01
Amapá,Lesão corporal seguida de morte,3,2022-09-01
Amapá,Roubo a instituição financeira,1,2022-09-01
Amapá,Roubo de carga,5,2022-09-01
Amapá,Roubo de veículo,34,2022-09-01
Amapá,Roubo seguido de morte (latrocínio),4,2022-09-01
Amapá,Tentativa de homicídio,9,2022-09-01
Amazonas,Estupro,43,2022-01-01
Amazonas,Furto de veículo,176,2022-01-01
Amazonas,Homicídio doloso,95,2022-01-01
Amazonas,Lesão corporal seguida de morte,1,2022-01-01
Amazonas,Roubo a instituição financeira,0,2022-01-01
Amazonas,Roubo de carga,0,2022-01-01
Amazonas,Roubo de veículo,144,2022-01-01
Amazonas,Roubo seguido de morte (latrocínio),5,2022-01-01
Amazonas,Tentativa de homicídio,11,2022-01-01
Amazonas,Estupro,64,2022-02-01
Amazonas,Furto de veículo,204,2022-02-01
Amazonas,Homicídio doloso,90,2022-02-01
Amazonas,Lesão corporal seguida de morte,2,2022-02-01
Amazonas,Roubo a instituição financeira,0,2022-02-01
Amazonas,Roubo de carga,0,2022-02-01
Amazonas,Roubo de veículo,174,2022-02-01
Amazonas,Roubo seguido de morte (latrocínio),5,2022-02-01
Amazonas,Tentativa de homicídio,16,2022-02-01
Amazonas,Estupro,76,2022-03-01
Amazonas,Furto de veículo,211,2022-03-01
Amazonas,Homicídio doloso,97,2022-03-01
Amazonas,Lesão corporal seguida de morte,5,2022-03-01
Amazonas,Roubo a instituição financeira,0,2022-03-01
Amazonas,Roubo de carga,1,2022-03-01
Amazonas,Roubo de veículo,164,2022-03-01
Amazonas,Roubo seguido de morte (latrocínio),5,2022-03-01
Amazonas,Tentativa de homicídio,27,2022-03-01
Amazonas,Estupro,81,2022-04-01
Amazonas,Furto de veículo,195,2022-04-01
Amazonas,Homicídio doloso,115,2022-04-01
Amazonas,Lesão corporal seguida de morte,5,2022-04-01
Amazonas,Roubo a instituição financeira,0,2022-04-01
Amazonas,Roubo de carga,3,2022-04-01
Amazonas,Roubo de veículo,113,2022-04-01
Amazonas,Roubo seguido de morte (latrocínio),4,2022-04-01
Amazonas,Tentativa de homicídio,33,2022-04-01
Amazonas,Estupro,72,2022-05-01
Amazonas,Furto de veículo,220,2022-05-01
Amazonas,Homicídio doloso,127,2022-05-01
Amazonas,Lesão corporal seguida de morte,2,2022-05-01
Amazonas,Roubo a instituição financeira,0,2022-05-01
Amazonas,Roubo de carga,0,2022-05-01
Amazonas,Roubo de veículo,118,2022-05-01
Amazonas,Roubo seguido de morte (latrocínio),7,2022-05-01
Amazonas,Tentativa de homicídio,16,2022-05-01
Amazonas,Estupro,81,2022-06-01
Amazonas,Furto de veículo,178,2022-06-01
Amazonas,Homicídio doloso,96,2022-06-01
Amazonas,Lesão corporal seguida de morte,0,2022-06-01
Amazonas,Roubo a instituição financeira,0,2022-06-01
Amazonas,Roubo de carga,2,2022-06-01
Amazonas,Roubo de veículo,111,2022-06-01
Amazonas,Roubo seguido de morte (latrocínio),4,2022-06-01
Amazonas,Tentativa de homicídio,17,2022-06-01
Amazonas,Estupro,100,2022-07-01
Amazonas,Furto de veículo,231,2022-07-01
Amazonas,Homicídio doloso,101,2022-07-01
Amazonas,Lesão corporal seguida de morte,2,2022-07-01
Amazonas,Roubo a instituição financeira,0,2022-07-01
Amazonas,Roubo de carga,0,2022-07-01
Amazonas,Roubo de veículo,116,2022-07-01
Amazonas,Roubo seguido de morte (latrocínio),6,2022-07-01
Amazonas,Tentativa de homicídio,25,2022-07-01
Amazonas,Estupro,88,2022-08-01
Amazonas,Furto de veículo,157,2022-08-01
Amazonas,Homicídio doloso,109,2022-08-01
Amazonas,Lesão corporal seguida de morte,1,2022-08-01
Amazonas,Roubo a instituição financeira,1,2022-08-01
Amazonas,Roubo de carga,6,2022-08-01
Amazonas,Roubo de veículo,118,2022-08-01
Amazonas,Roubo seguido de morte (latrocínio),3,2022-08-01
Amazonas,Tentativa de homicídio,26,2022-08-01
Amazonas,Estupro,99,2022-09-01
Amazonas,Furto de veículo,208,2022-09-01
Amazonas,Homicídio doloso,118,2022-09-01
Amazonas,Lesão corporal seguida de morte,4,2022-09-01
Amazonas,Roubo a instituição financeira,0,2022-09-01
Amazonas,Roubo de carga,1,2022-09-01
Amazonas,Roubo de veículo,100,2022-09-01
Amazonas,Roubo seguido de morte (latrocínio),2,2022-09-01
Amazonas,Tentativa de homicídio,20,2022-09-01
Bahia,Estupro,234,2022-01-01
Bahia,Furto de veículo,420,2022-01-01
Bahia,Homicídio doloso,373,2022-01-01
Bahia,Lesão corporal seguida de morte,4,2022-01-01
Bahia,Roubo a instituição financeira,0,2022-01-01
Bahia,Roubo de carga,30,2022-01-01
Bahia,Roubo de veículo,903,2022-01-01
Bahia,Roubo seguido de morte (latrocínio),4,2022-01-01
Bahia,Tentativa de homicídio,154,2022-01-01
Bahia,Estupro,243,2022-02-01
Bahia,Furto de veículo,437,2022-02-01
Bahia,Homicídio doloso,387,2022-02-01
Bahia,Lesão corporal seguida de morte,4,2022-02-01
Bahia,Roubo a instituição financeira,3,2022-02-01
Bahia,Roubo de carga,34,2022-02-01
Bahia,Roubo de veículo,954,2022-02-01
Bahia,Roubo seguido de morte (latrocínio),8,2022-02-01
Bahia,Tentativa de homicídio,140,2022-02-01
Bahia,Estupro,276,2022-03-01
Bahia,Furto de veículo,535,2022-03-01
Bahia,Homicídio doloso,454,2022-03-01
Bahia,Lesão corporal seguida de morte,5,2022-03-01
Bahia,Roubo a instituição financeira,0,2022-03-01
Bahia,Roubo de carga,28,2022-03-01
Bahia,Roubo de veículo,1100,2022-03-01
Bahia,Roubo seguido de morte (latrocínio),5,2022-03-01
Bahia,Tentativa de homicídio,171,2022-03-01
Bahia,Estupro,311,2022-04-01
Bahia,Furto de veículo,550,2022-04-01
Bahia,Homicídio doloso,403,2022-04-01
Bahia,Lesão corporal seguida de morte,5,2022-04-01
Bahia,Roubo a instituição financeira,0,2022-04-01
Bahia,Roubo de carga,17,2022-04-01
Bahia,Roubo de veículo,948,2022-04-01
Bahia,Roubo seguido de morte (latrocínio),8,2022-04-01
Bahia,Tentativa de homicídio,159,2022-04-01
Bahia,Estupro,342,2022-05-01
Bahia,Furto de veículo,558,2022-05-01
Bahia,Homicídio doloso,412,2022-05-01
Bahia,Lesão corporal seguida de morte,4,2022-05-01
Bahia,Roubo a instituição financeira,0,2022-05-01
Bahia,Roubo de carga,28,2022-05-01
Bahia,Roubo de veículo,986,2022-05-01
Bahia,Roubo seguido de morte (latrocínio),5,2022-05-01
Bahia,Tentativa de homicídio,163,2022-05-01
Bahia,Estupro,321,2022-06-01
Bahia,Furto de veículo,614,2022-06-01
Bahia,Homicídio doloso,362,2022-06-01
Bahia,Lesão corporal seguida de morte,10,2022-06-01
Bahia,Roubo a instituição financeira,0,2022-06-01
Bahia,Roubo de carga,16,2022-06-01
Bahia,Roubo de veículo,1032,2022-06-01
Bahia,Roubo seguido de morte (latrocínio),12,2022-06-01
Bahia,Tentativa de homicídio,211,2022-06-01
Bahia,Estupro,332,2022-07-01
Bahia,Furto de veículo,653,2022-07-01
Bahia,Homicídio doloso,376,2022-07-01
Bahia,Lesão corporal seguida de morte,1,2022-07-01
Bahia,Roubo a instituição financeira,0,2022-07-01
Bahia,Roubo de carga,30,2022-07-01
Bahia,Roubo de veículo,1034,2022-07-01
Bahia,Roubo seguido de morte (latrocínio),5,2022-07-01
Bahia,Tentativa de homicídio,177,2022-07-01
Bahia,Estupro,352,2022-08-01
Bahia,Furto de veículo,577,2022-08-01
Bahia,Homicídio doloso,350,2022-08-01
Bahia,Lesão corporal seguida de morte,6,2022-08-01
Bahia,Roubo a instituição financeira,0,2022-08-01
Bahia,Roubo de carga,28,2022-08-01
Bahia,Roubo de veículo,1046,2022-08-01
Bahia,Roubo seguido de morte (latrocínio),6,2022-08-01
Bahia,Tentativa de homicídio,165,2022-08-01
Bahia,Estupro,339,2022-09-01
Bahia,Furto de veículo,575,2022-09-01
Bahia,Homicídio doloso,355,2022-09-01
Bahia,Lesão corporal seguida de morte,4,2022-09-01
Bahia,Roubo a instituição financeira,0,2022-09-01
Bahia,Roubo de carga,27,2022-09-01
Bahia,Roubo de veículo,1050,2022-09-01
Bahia,Roubo seguido de morte (latrocínio),7,2022-09-01
Bahia,Tentativa de homicídio,188,2022-09-01
Ceará,Estupro,111,2022-01-01
Ceará,Furto de veículo,345,2022-01-01
Ceará,Homicídio doloso,241,2022-01-01
Ceará,Lesão corporal seguida de morte,1,2022-01-01
Ceará,Roubo a instituição financeira,0,2022-01-01
Ceará,Roubo de carga,4,2022-01-01
Ceará,Roubo de veículo,666,2022-01-01
Ceará,Roubo seguido de morte (latrocínio),6,2022-01-01
Ceará,Tentativa de homicídio,64,2022-01-01
Ceará,Estupro,109,2022-02-01
Ceará,Furto de veículo,396,2022-02-01
Ceará,Homicídio doloso,252,2022-02-01
Ceará,Lesão corporal seguida de morte,1,2022-02-01
Ceará,Roubo a instituição financeira,0,2022-02-01
Ceará,Roubo de carga,4,2022-02-01
Ceará,Roubo de veículo,583,2022-02-01
Ceará,Roubo seguido de morte (latrocínio),0,2022-02-01
Ceará,Tentativa de homicídio,83,2022-02-01
Ceará,Estupro,146,2022-03-01
Ceará,Furto de veículo,379,2022-03-01
Ceará,Homicídio doloso,214,2022-03-01
Ceará,Lesão corporal seguida de morte,1,2022-03-01
Ceará,Roubo a instituição financeira,0,2022-03-01
Ceará,Roubo de carga,3,2022-03-01
Ceará,Roubo de veículo,629,2022-03-01
Ceará,Roubo seguido de morte (latrocínio),3,2022-03-01
Ceará,Tentativa de homicídio,81,2022-03-01
Ceará,Estupro,122,2022-04-01
Ceará,Furto de veículo,453,2022-04-01
Ceará,Homicídio doloso,218,2022-04-01
Ceará,Lesão corporal seguida de morte,0,2022-04-01
Ceará,Roubo a instituição financeira,0,2022-04-01
Ceará,Roubo de carga,2,2022-04-01
Ceará,Roubo de veículo,660,2022-04-01
Ceará,Roubo seguido de morte (latrocínio),5,2022-04-01
Ceará,Tentativa de homicídio,102,2022-04-01
Ceará,Estupro,178,2022-05-01
Ceará,Furto de veículo,476,2022-05-01
Ceará,Homicídio doloso,248,2022-05-01
Ceará,Lesão corporal seguida de morte,3,2022-05-01
Ceará,Roubo a instituição financeira,0,2022-05-01
Ceará,Roubo de carga,5,2022-05-01
Ceará,Roubo de veículo,626,2022-05-01
Ceará,Roubo seguido de morte (latrocínio),1,2022-05-01
Ceará,Tentativa de homicídio,79,2022-05-01
Ceará,Estupro,142,2022-06-01
Ceará,Furto de veículo,513,2022-06-01
Ceará,Homicídio doloso,203,2022-06-01
Ceará,Lesão corporal seguida de morte,2,2022-06-01
Ceará,Roubo a instituição financeira,1,2022-06-01
Ceará,Roubo de carga,8,2022-06-01
Ceará,Roubo de veículo,576,2022-06-01
Ceará,Roubo seguido de morte (latrocínio),3,2022-06-01
Ceará,Tentativa de homicídio,73,2022-06-01
Ceará,Estupro,157,2022-07-01
Ceará,Furto de veículo,464,2022-07-01
Ceará,Homicídio doloso,229,2022-07-01
Ceará,Lesão corporal seguida de morte,5,2022-07-01
Ceará,Roubo a instituição financeira,0,2022-07-01
Ceará,Roubo de carga,6,2022-07-01
Ceará,Roubo de veículo,618,2022-07-01
Ceará,Roubo seguido de morte (latrocínio),5,2022-07-01
Ceará,Tentativa de homicídio,78,2022-07-01
Ceará,Estupro,192,2022-08-01
Ceará,Furto de veículo,549,2022-08-01
Ceará,Homicídio doloso,230,2022-08-01
Ceará,Lesão corporal seguida de morte,0,2022-08-01
Ceará,Roubo a instituição financeira,2,2022-08-01
Ceará,Roubo de carga,8,2022-08-01
Ceará,Roubo de veículo,626,2022-08-01
Ceará,Roubo seguido de morte (latrocínio),3,2022-08-01
Ceará,Tentativa de homicídio,77,2022-08-01
Ceará,Estupro,185,2022-09-01
Ceará,Furto de veículo,482,2022-09-01
Ceará,Homicídio doloso,224,2022-09-01
Ceará,Lesão corporal seguida de morte,1,2022-09-01
Ceará,Roubo a instituição financeira,1,2022-09-01
Ceará,Roubo de carga,11,2022-09-01
Ceará,Roubo de veículo,669,2022-09-01
Ceará,Roubo seguido de morte (latrocínio),5,2022-09-01
Ceará,Tentativa de homicídio,82,2022-09-01
Distrito Federal,Estupro,48,2022-01-01
Distrito Federal,Furto de veículo,286,2022-01-01
Distrito Federal,Homicídio doloso,14,2022-01-01
Distrito Federal,Lesão corporal seguida de morte,0,2022-01-01
Distrito Federal,Roubo a instituição financeira,0,2022-01-01
Distrito Federal,Roubo de carga,3,2022-01-01
Distrito Federal,Roubo de veículo,128,2022-01-01
Distrito Federal,Roubo seguido de morte (latrocínio),2,2022-01-01
Distrito Federal,Tentativa de homicídio,40,2022-01-01
Distrito Federal,Estupro,50,2022-02-01
Distrito Federal,Furto de veículo,251,2022-02-01
Distrito Federal,Homicídio doloso,25,2022-02-01
Distrito Federal,Lesão corporal seguida de morte,1,2022-02-01
Distrito Federal,Roubo a instituição financeira,0,2022-02-01
Distrito Federal,Roubo de carga,3,2022-02-01
Distrito Federal,Roubo de veículo,143,2022-02-01
Distrito Federal,Roubo seguido de morte (latrocínio),0,2022-02-01
Distrito Federal,Tentativa de homicídio,32,2022-02-01
Distrito Federal,Estupro,50,2022-03-01
Distrito Federal,Furto de veículo,296,2022-03-01
Distrito Federal,Homicídio doloso,20,2022-03-01
Distrito Federal,Lesão corporal seguida de morte,1,2022-03-01
Distrito Federal,Roubo a instituição financeira,0,2022-03-01
Distrito Federal,Roubo de carga,0,2022-03-01
Distrito Federal,Roubo de veículo,143,2022-03-01
Distrito Federal,Roubo seguido de morte (latrocínio),2,2022-03-01
Distrito Federal,Tentativa de homicídio,50,2022-03-01
Distrito Federal,Estupro,64,2022-04-01
Distrito Federal,Furto de veículo,381,2022-04-01
Distrito Federal,Homicídio doloso,16,2022-04-01
Distrito Federal,Lesão corporal seguida de morte,0,2022-04-01
Distrito Federal,Roubo a instituição financeira,0,2022-04-01
Distrito Federal,Roubo de carga,2,2022-04-01
Distrito Federal,Roubo de veículo,131,2022-04-01
Distrito Federal,Roubo seguido de morte (latrocínio),2,2022-04-01
Distrito Federal,Tentativa de homicídio,59,2022-04-01
Distrito Federal,Estupro,51,2022-05-01
Distrito Federal,Furto de veículo,373,2022-05-01
Distrito Federal,Homicídio doloso,19,2022-05-01
Distrito Federal,Lesão corporal seguida de morte,0,2022-05-01
Distrito Federal,Roubo a instituição financeira,0,2022-05-01
Distrito Federal,Roubo de carga,4,2022-05-01
Distrito Federal,Roubo de veículo,135,2022-05-01
Distrito Federal,Roubo seguido de morte (latrocínio),2,2022-05-01
Distrito Federal,Tentativa de homicídio,40,2022-05-01
Distrito Federal,Estupro,60,2022-06-01
Distrito Federal,Furto de veículo,410,2022-06-01
Distrito Federal,Homicídio doloso,20,2022-06-01
Distrito Federal,Lesão corporal seguida de morte,0,2022-06-01
Distrito Federal,Roubo a instituição financeira,1,2022-06-01
Distrito Federal,Roubo de carga,0,2022-06-01
Distrito Federal,Roubo de veículo,124,2022-06-01
Distrito Federal,Roubo seguido de morte (latrocínio),1,2022-06-01
Distrito Federal,Tentativa de homicídio,32,2022-06-01
Distrito Federal,Estupro,61,2022-07-01
Distrito Federal,Furto de veículo,0,2022-07-01
Distrito Federal,Homicídio doloso,26,2022-07-01
Distrito Federal,Lesão corporal seguida de morte,0,2022-07-01
Distrito Federal,Roubo a instituição financeira,0,2022-07-01
Distrito Federal,Roubo de carga,0,2022-07-01
Distrito Federal,Roubo de veículo,123,2022-07-01
Distrito Federal,Roubo seguido de morte (latrocínio),0,2022-07-01
Distrito Federal,Tentativa de homicídio,31,2022-07-01
Distrito Federal,Estupro,94,2022-08-01
Distrito Federal,Furto de veículo,276,2022-08-01
Distrito Federal,Homicídio doloso,19,2022-08-01
Distrito Federal,Lesão corporal seguida de morte,0,2022-08-01
Distrito Federal,Roubo a instituição financeira,0,2022-08-01
Distrito Federal,Roubo de carga,0,2022-08-01
Distrito Federal,Roubo de veículo,97,2022-08-01
Distrito Federal,Roubo seguido de morte (latrocínio),2,2022-08-01
Distrito Federal,Tentativa de homicídio,34,2022-08-01
Distrito Federal,Estupro,61,2022-09-01
Distrito Federal,Furto de veículo,251,2022-09-01
Distrito Federal,Homicídio doloso,21,2022-09-01
Distrito Federal,Lesão corporal seguida de morte,1,2022-09-01
Distrito Federal,Roubo a instituição financeira,0,2022-09-01
Distrito Federal,Roubo de carga,0,2022-09-01
Distrito Federal,Roubo de veículo,119,2022-09-01
Distrito Federal,Roubo seguido de morte (latrocínio),1,2022-09-01
Distrito Federal,Tentativa de homicídio,51,2022-09-01
Espírito Santo,Estupro,114,2022-01-01
Espírito Santo,Furto de veículo,392,2022-01-01
Espírito Santo,Homicídio doloso,88,2022-01-01
Espírito Santo,Lesão corporal seguida de morte,1,2022-01-01
Espírito Santo,Roubo a instituição financeira,3,2022-01-01
Espírito Santo,Roubo de carga,2,2022-01-01
Espírito Santo,Roubo de veículo,363,2022-01-01
Espírito Santo,Roubo seguido de morte (latrocínio),1,2022-01-01
Espírito Santo,Tentativa de homicídio,201,2022-01-01
Espírito Santo,Estupro,120,2022-02-01
Espírito Santo,Furto de veículo,361,2022-02-01
Espírito Santo,Homicídio doloso,68,2022-02-01
Espírito Santo,Lesão corporal seguida de morte,0,2022-02-01
Espírito Santo,Roubo a instituição financeira,5,2022-02-01
Espírito Santo,Roubo de carga,3,2022-02-01
Espírito Santo,Roubo de veículo,287,2022-02-01
Espírito Santo,Roubo seguido de morte (latrocínio),9,2022-02-01
Espírito Santo,Tentativa de homicídio,199,2022-02-01
Espírito Santo,Estupro,153,2022-03-01
Espírito Santo,Furto de veículo,447,2022-03-01
Espírito Santo,Homicídio doloso,80,2022-03-01
Espírito Santo,Lesão corporal seguida de morte,3,2022-03-01
Espírito Santo,Roubo a instituição financeira,0,2022-03-01
Espírito Santo,Roubo de carga,3,2022-03-01
Espírito Santo,Roubo de veículo,328,2022-03-01
